region,date,variable,value
Viken,2020-01-01,rentedrooms,221549
Viken,2020-01-01,roomprice,996
Viken,2020-01-01,roomcap,52
Viken,2020-01-01,bedcap,32
Viken,2020-01-01,revenue,220663
Viken,2020-01-01,revperroom,522
Viken,2020-01-01,revsofar,220663
Viken,2020-01-01,revroomsofar,522
Viken,2020-01-01,roompricesofar,996
Viken,2020-01-01,roomcapsofar,52
Viken,2020-01-01,bedcapsofar,32
Viken,2020-02-01,rentedrooms,207851
Viken,2020-02-01,roomprice,1005
Viken,2020-02-01,roomcap,53
Viken,2020-02-01,bedcap,37
Viken,2020-02-01,revenue,208970
Viken,2020-02-01,revperroom,529
Viken,2020-02-01,revsofar,429633
Viken,2020-02-01,revroomsofar,525
Viken,2020-02-01,roompricesofar,1001
Viken,2020-02-01,roomcapsofar,52
Viken,2020-02-01,bedcapsofar,35
Viken,2020-03-01,rentedrooms,104271
Viken,2020-03-01,roomprice,1026
Viken,2020-03-01,roomcap,30
Viken,2020-03-01,bedcap,20
Viken,2020-03-01,revenue,106935
Viken,2020-03-01,revperroom,310
Viken,2020-03-01,revsofar,536568
Viken,2020-03-01,revroomsofar,462
Viken,2020-03-01,roompricesofar,1005
Viken,2020-03-01,roomcapsofar,46
Viken,2020-03-01,bedcapsofar,30
Viken,2020-04-01,rentedrooms,26515
Viken,2020-04-01,roomprice,860
Viken,2020-04-01,roomcap,13
Viken,2020-04-01,bedcap,7
Viken,2020-04-01,revenue,22804
Viken,2020-04-01,revperroom,115
Viken,2020-04-01,revsofar,559372
Viken,2020-04-01,revroomsofar,411
Viken,2020-04-01,roompricesofar,999
Viken,2020-04-01,roomcapsofar,41
Viken,2020-04-01,bedcapsofar,27
Viken,2020-05-01,rentedrooms,45285
Viken,2020-05-01,roomprice,904
Viken,2020-05-01,roomcap,19
Viken,2020-05-01,bedcap,11
Viken,2020-05-01,revenue,40958
Viken,2020-05-01,revperroom,174
Viken,2020-05-01,revsofar,600331
Viken,2020-05-01,revroomsofar,376
Viken,2020-05-01,roompricesofar,992
Viken,2020-05-01,roomcapsofar,38
Viken,2020-05-01,bedcapsofar,25
Viken,2020-06-01,rentedrooms,97251
Viken,2020-06-01,roomprice,931
Viken,2020-06-01,roomcap,30
Viken,2020-06-01,bedcap,20
Viken,2020-06-01,revenue,90587
Viken,2020-06-01,revperroom,281
Viken,2020-06-01,revsofar,690917
Viken,2020-06-01,revroomsofar,360
Viken,2020-06-01,roompricesofar,983
Viken,2020-06-01,roomcapsofar,37
Viken,2020-06-01,bedcapsofar,24
Viken,2020-07-01,rentedrooms,160918
Viken,2020-07-01,roomprice,982
Viken,2020-07-01,roomcap,47
Viken,2020-07-01,bedcap,43
Viken,2020-07-01,revenue,158037
Viken,2020-07-01,revperroom,460
Viken,2020-07-01,revsofar,848954
Viken,2020-07-01,revroomsofar,375
Viken,2020-07-01,roompricesofar,983
Viken,2020-07-01,roomcapsofar,38
Viken,2020-07-01,bedcapsofar,27
Viken,2020-08-01,rentedrooms,135740
Viken,2020-08-01,roomprice,923
Viken,2020-08-01,roomcap,37
Viken,2020-08-01,bedcap,24
Viken,2020-08-01,revenue,125277
Viken,2020-08-01,revperroom,337
Viken,2020-08-01,revsofar,974231
Viken,2020-08-01,revroomsofar,370
Viken,2020-08-01,roompricesofar,975
Viken,2020-08-01,roomcapsofar,38
Viken,2020-08-01,bedcapsofar,26
Oslo,2020-01-01,rentedrooms,254858
Oslo,2020-01-01,roomprice,928
Oslo,2020-01-01,roomcap,57
Oslo,2020-01-01,bedcap,40
Oslo,2020-01-01,revenue,236627
Oslo,2020-01-01,revperroom,529
Oslo,2020-01-01,revsofar,236627
Oslo,2020-01-01,revroomsofar,529
Oslo,2020-01-01,roompricesofar,928
Oslo,2020-01-01,roomcapsofar,57
Oslo,2020-01-01,bedcapsofar,40
Oslo,2020-02-01,rentedrooms,256189
Oslo,2020-02-01,roomprice,931
Oslo,2020-02-01,roomcap,63
Oslo,2020-02-01,bedcap,46
Oslo,2020-02-01,revenue,238402
Oslo,2020-02-01,revperroom,582
Oslo,2020-02-01,revsofar,475030
